Scenario,Country,Energy_carrier,Sector,Region,Name_Region,Subsector,Application,Technologie,latitude,longitude,Unit,2021,2025,2030,2035,2040,2045,2050,index_right0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE26C,"Würzburg, Landkreis",Lime ,CO2 capture,,49.665721,10.080457,CO2-Abscheidung [Mt/a],0.06861111361981177,0.053364199482075825,0.06403703937849099,0.053364199482075825,0.048790125240755045,0.04574074241320785,0.04574074241320785,592.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEE08,Burgenlandkreis,Lime ,CO2 capture,,51.053932,12.110927,CO2-Abscheidung [Mt/a],0.1339244759173871,0.10416348126907884,0.12499617752289463,0.10416348126907884,0.09523518287458638,0.08928298394492473,0.08928298394492473,253.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE407,Elbe-Elster,Lime ,CO2 capture,,51.459829,13.223213,CO2-Abscheidung [Mt/a],0.034265571162483646,0.026650999793042838,0.03198119975165141,0.026650999793042838,0.024366628382210598,0.022843714108322432,0.022843714108322432,73.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE27D,Donau-Ries,Lime ,CO2 capture,,48.69791,10.909583,CO2-Abscheidung [Mt/a],0.03769108723167354,0.029315290069079417,0.03517834808289531,0.029315290069079417,0.026802550920301184,0.02512739148778236,0.02512739148778236,374.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEB3C,Bad Dürkheim,Lime ,CO2 capture,,49.599577,8.219661,CO2-Abscheidung [Mt/a],0.06755634427714635,0.05254382332666938,0.06305258799200326,0.05254382332666938,0.048040067041526295,0.0450375628514309,0.0450375628514309,246.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE224,Deggendorf,Lime ,CO2 capture,,48.78676,12.882771,CO2-Abscheidung [Mt/a],0.059421039356418084,0.046216363943880734,0.05545963673265688,0.046216363943880734,0.04225496132011953,0.03961402623761206,0.03961402623761206,107.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE40B,Oberspreewald-Lausitz,municipal waste incinerator.,CO2 capture,,51.58196317,13.97744648,CO2-Abscheidung [Mt/a],0.0,0.008747614908034405,0.050956849270515824,0.12484944419647698,0.18494768013298163,0.2569461745333663,0.2569461745333663,359.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEE0B,Saalekreis,municipal waste incinerator.,CO2 capture,,51.32993899,11.9958015,CO2-Abscheidung [Mt/a],0.0,0.013982408078504822,0.08145071180954765,0.19956249737586076,0.2956250319635077,0.4107092395249871,0.4107092395249871,321.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEE08,Burgenlandkreis,municipal waste incinerator.,CO2 capture,,51.18155547,12.01945292,CO2-Abscheidung [Mt/a],0.0,0.010917298920509676,0.0635957528288794,0.15581603862105795,0.23082052992662758,0.3206769186062091,0.3206769186062091,253.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE300,Berlin,municipal waste incinerator.,CO2 capture,,52.52903825,13.23791549,CO2-Abscheidung [Mt/a],0.0,0.015428864085686849,0.08987664750851278,0.22020689364271814,0.32620693180194527,0.4531964022068823,0.4531964022068823,398.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE408,Havelland,municipal waste incinerator.,CO2 capture,,52.52769132,12.35903072,CO2-Abscheidung [Mt/a],0.0,0.005131474884972654,0.029892009993355388,0.0732384534564489,0.10849293042891894,0.15072826767862826,0.15072826767862826,604.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE409,Märkisch-Oderland,municipal waste incinerator.,CO2 capture,,52.49065405,13.8307896,CO2-Abscheidung [Mt/a],0.0,0.009780797769820935,0.05697537476694355,0.13959544152300518,0.20679189429301148,0.2872941478632915,0.2872941478632915,605.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE40C,Oder-Spree,municipal waste incinerator.,CO2 capture,,52.17257779,14.64052652,CO2-Abscheidung [Mt/a],0.0,0.011847163496798442,0.0690124257796307,0.16908743622465128,0.25048032268505027,0.3479900946231418,0.3479900946231418,335.0
Orientierungsszenario_Strom,,process_emissions,Industry,DE600,Hamburg,municipal waste incinerator.,CO2 capture,,53.53450441,9.942925565,CO2-Abscheidung [Mt/a],0.0,0.005923581748399221,0.03450621288981535,0.08454371811232564,0.12524016134252514,0.1739950473115709,0.1739950473115709,
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE600,Hamburg,municipal waste incinerator.,CO2 capture,,53.52116623,9.934725497,CO2-Abscheidung [Mt/a],0.0,0.011055056633371873,0.06439822288317072,0.15778217156877453,0.23373309177144405,0.32472331499019913,0.32472331499019913,6.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE600,Hamburg,municipal waste incinerator.,CO2 capture,,53.53143037,10.07399703,CO2-Abscheidung [Mt/a],0.0,0.016806441238140006,0.09790134819024812,0.23986822346001213,0.35533255075396425,0.49366036674678254,0.49366036674678254,6.0
